Date,Total_event_runners,temperature,windspeed,precipitation,ave_run_time,best_time,worst_time
2011-10-01,366.0,19.1,9.2,0.0,26.407951219512196,17.85,39.58
2011-10-08,318.0,11.4,30.099999999999998,0.0,25.771525423728814,17.32,40.37
2011-10-15,374.0,11.6,21.6,0.0,25.986459330143543,17.82,38.75
2011-10-22,348.0,10.0,32.9,0.0,25.70475,16.58,41.35
2011-10-29,410.0,13.2,23.2,0.0,26.5304,18.17,57.03
2011-11-05,381.0,11.8,22.8,0.0,26.07257142857143,17.73,45.45
2011-11-12,442.0,13.900000000000002,7.4,0.0,25.810845070422534,16.75,41.92
2011-11-19,334.0,10.8,23.2,0.0,26.25,18.22,38.87
2011-11-26,378.0,11.0,37.8,0.0,25.58461165048544,18.03,40.43
2011-12-03,359.0,11.0,39.6,0.0,25.634526315789476,17.95,47.28
2011-12-10,313.0,2.5,21.3,0.0,25.275923566878983,15.5,40.82
2011-12-17,323.0,1.7000000000000002,26.700000000000003,0.0,25.079112426035504,17.83,40.53
2011-12-24,474.0,4.3,28.8,0.0,25.426081081081083,15.07,44.42
2011-12-31,390.0,10.9,30.8,0.0,25.8030198019802,17.12,41.9
2012-01-07,440.0,10.0,31.9,0.0,26.66074380165289,18.85,41.85
2012-01-14,426.0,1.0,21.1,0.0,26.7592050209205,16.67,42.18
2012-01-21,452.0,10.0,41.9,0.0,26.997166666666665,17.3,48.92
2012-01-28,405.0,3.0,28.6,0.0,26.62778761061947,16.7,48.97
2012-02-04,298.0,-1.7,12.8,0.0,25.702111111111112,17.02,45.67
2012-02-11,289.0,-2.0,18.4,0.0,25.503696969696968,17.93,41.1
2012-02-18,280.0,8.1,40.3,0.0,26.83108974358974,17.7,51.32
2012-02-25,336.0,7.7,10.1,0.3,25.459695431472085,17.73,39.47
2012-03-03,394.0,8.1,30.0,0.0,26.27295154185022,16.1,38.47
2012-03-10,403.0,9.4,14.1,0.0,25.67004761904762,16.85,43.08
2012-03-17,388.0,8.6,25.0,0.6,26.48156950672646,18.13,43.35
2012-03-24,364.0,11.3,15.0,0.0,26.15345291479821,16.92,45.1
2012-03-31,381.0,8.7,16.4,0.0,25.404508928571428,15.43,37.83
2012-04-07,369.0,8.7,14.0,0.0,25.047729729729728,16.92,36.57
2012-04-14,351.0,7.5,25.0,0.0,26.131049723756906,17.25,43.62
2012-04-21,410.0,7.700000000000001,11.900000000000002,0.1,25.864413145539906,17.58,39.93
2012-04-28,399.0,9.2,28.0,0.2,25.678275862068965,16.62,38.9
2012-05-05,327.0,6.2,35.6,0.2,25.82937142857143,18.15,47.83
2012-05-12,425.0,9.7,22.7,0.0,25.81188841201717,17.5,44.28
2012-05-19,381.0,12.3,10.9,0.0,25.93276699029126,18.25,45.77
2012-05-26,399.0,18.2,30.5,0.0,26.441244635193137,17.05,43.82
2012-06-02,369.0,14.0,25.600000000000005,0.0,26.66269035532995,16.85,50.2
2012-06-09,354.0,13.0,39.9,0.0,25.786720430107525,16.52,43.7
2012-06-16,357.0,13.6,42.2,0.1,25.7231,15.8,40.57
2012-06-23,393.0,14.6,30.9,0.0,25.32839285714286,15.47,48.08
2012-06-30,312.0,15.600000000000001,31.600000000000005,0.0,25.752189349112424,18.38,42.18
2012-07-07,376.0,15.3,29.300000000000004,0.4,25.515803108808292,15.8,39.58
2012-07-14,395.0,15.1,26.6,0.4,25.631355140186916,16.7,39.85
2012-07-21,365.0,15.4,17.5,0.0,25.503962264150942,16.92,42.0
2012-07-28,312.0,14.400000000000002,21.0,0.2,26.665178571428573,17.2,48.22
2012-08-04,389.0,16.3,27.699999999999996,0.2,25.718838383838385,16.85,46.38
2012-08-11,386.0,18.3,26.6,0.0,26.31321608040201,17.02,42.0
2012-08-18,379.0,21.1,13.8,0.0,25.797643979057593,15.75,40.4
2012-08-25,290.0,16.6,40.2,0.2,26.005290322580645,16.5,44.32
2012-09-01,419.0,15.0,12.2,0.0,25.71815165876777,17.12,43.8
2012-09-08,499.0,16.9,3.3,0.0,26.368478260869566,17.02,44.37
2012-09-15,416.0,14.400000000000002,8.3,0.0,26.263715596330275,17.85,44.47
2012-09-22,477.0,10.199999999999998,24.8,0.0,26.021981981981984,17.92,39.63
2012-09-29,403.0,11.7,23.4,0.0,25.72019607843137,18.03,39.62
2012-10-06,422.0,9.1,24.3,0.3,26.009024390243905,18.05,39.6
2012-10-13,409.0,9.6,15.8,0.5,25.321911764705884,15.13,48.9
2012-10-20,402.0,11.4,4.9,0.0,25.571866028708136,16.15,40.18
2012-10-27,423.0,4.900000000000001,46.5,0.0,25.903225806451612,16.3,38.55
2012-11-03,475.0,8.2,41.20000000000001,0.0,25.89202643171806,17.28,39.42
2012-11-10,464.0,9.5,19.8,0.6,25.56748987854251,15.9,43.32
2012-11-17,394.0,12.099999999999998,24.6,0.0,25.95360655737705,17.78,38.12
2012-11-24,407.0,8.6,33.0,0.8,25.69676616915423,16.7,37.73
2012-12-01,416.0,0.5,12.8,0.0,25.473653846153848,17.72,40.47
2012-12-08,368.0,2.4,22.8,0.0,24.94703125,16.43,37.7
2012-12-15,296.0,8.9,45.5,0.2,25.8018954248366,16.43,40.23
2012-12-22,266.0,9.4,38.0,2.3,24.264017857142857,16.33,41.78
2012-12-29,333.0,10.2,47.7,0.0,25.31296052631579,14.58,42.25
2013-01-05,465.0,9.5,15.5,0.0,26.307916666666664,17.57,42.15
2013-01-12,418.0,4.2,37.6,0.5,26.380803571428572,17.68,46.32
2013-01-19,120.0,0.2,32.3,0.0,26.02,19.25,41.17
2013-01-26,433.0,3.6,25.2,0.0,26.013632478632477,15.73,40.73
2013-02-02,434.0,2.9,37.8,0.0,26.162418032786885,17.03,43.65
2013-02-09,418.0,1.5,5.5,0.0,26.24967889908257,16.55,40.88
2013-02-16,406.0,4.6,4.0,0.0,26.48029126213592,18.07,39.67
2013-02-23,355.0,0.0,32.4,0.0,25.630833333333335,18.22,38.75
2013-03-02,388.0,2.4,19.9,0.0,25.69731343283582,18.17,41.22
